Taxon,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
Crocodylus porosus,CH,MC,AU,,1,leather products (small),,P,C
Crocodylus porosus,CH,MY,AU,,5446,leather products (small),,T,C
Crocodylus porosus,CH,MY,MY,,6,leather products (small),,T,D
Crocodylus porosus,CH,MY,SG,,15,leather products (small),,T,W
Crocodylus porosus,CH,MY,ZW,,1,leather products (small),,T,C
Crocodylus porosus,CH,NL,AU,,2,leather products (small),,T,C
Crocodylus porosus,CH,NL,PG,,1,leather products (small),,T,C
Crocodylus porosus,CL,FR,AU,1,1,leather products (small),,T,C
Crocodylus porosus,CL,FR,AU,1,1,leather products (small),,T,R
Crocodylus porosus,CN,BE,PG,,1,leather products (small),,,
Crocodylus porosus,CN,CH,AU,12,,leather products (small),,T,C
Crocodylus porosus,CN,CH,AU,35,,leather products (small),,T,R
Crocodylus porosus,CN,CH,PG,1,,leather products (small),,T,W
Crocodylus porosus,CN,ES,AU,,3,leather products (small),,T,C
Crocodylus porosus,CN,ES,AU,,9,leather products (small),,T,R
Crocodylus porosus,CN,ES,ID,,2,leather products (small),,T,C
Crocodylus porosus,CN,ES,ID,,1,leather products (small),,,
Crocodylus porosus,CN,ES,PG,,3,leather products (small),,T,C
Crocodylus porosus,CN,ES,PG,,1,leather products (small),,T,W
Crocodylus porosus,CN,FO,PG,10,,leather products (small),,T,W
Crocodylus porosus,CN,FR,AU,,1,garments,,T,C
Crocodylus porosus,CN,FR,AU,1,11.66,garments,,T,R
Crocodylus porosus,CN,FR,AU,2,,leather products (large),,T,C
Crocodylus porosus,CN,FR,AU,3,1.5,leather products (large),,T,R
Crocodylus porosus,CN,FR,AU,211,215.66,leather products (small),,T,C
Crocodylus porosus,CN,FR,AU,125,283.15,leather products (small),,T,R
Crocodylus porosus,CN,FR,AU,,67,skins,,T,C
Crocodylus porosus,CN,FR,AU,67,163,skins,,T,R
Crocodylus porosus,CN,FR,AU,,34.43,skin pieces,,T,R
Crocodylus porosus,CN,FR,AU,3,,specimens,,T,R
Crocodylus porosus,CN,FR,ID,1,,jewellery,,T,C
